delta_t (s),Velocity X (m/s),Velocity Y (m/s)
8.058547973632812e-05,0.02,0.01
0.0019114017486572266,0.02,0.01
0.0027539730072021484,0.02,0.01
0.003449678421020508,0.01,0.0
0.005206584930419922,0.01,0.0
0.0059201717376708984,0.01,0.0
0.006608486175537109,0.01,0.0
0.008326530456542969,0.01,0.0
0.009047985076904297,0.01,0.0
0.009742259979248047,0.01,0.0
0.011426448822021484,0.01,0.01
0.012123584747314453,0.01,0.01
0.012850284576416016,0.01,0.01
0.014455080032348633,0.01,0.01
0.015189647674560547,0.01,0.01
0.015950441360473633,0.01,0.01
0.017560482025146484,0.01,0.01
0.01825404167175293,0.01,0.01
0.1176753044128418,-0.47,0.67
0.6599550247192383,-0.85,1.18
0.8873181343078613,-1.25,1.65
1.1264522075653076,-2.41,2.19
1.6686255931854248,-2.91,2.3
1.890246868133545,-3.38,2.2
2.1294121742248535,-4.1,1.15
2.659964084625244,-4.37,0.65
2.8874053955078125,-4.53,0.07
3.138185739517212,-4.65,-1.17
3.6687510013580322,-4.66,-1.69
3.890387535095215,-4.5,-2.28
4.146897315979004,-4.01,-3.41
4.660173177719116,-3.74,-3.91
4.887589693069458,-3.32,-4.39
5.149971961975098,-2.34,-5.22
5.668908596038818,-1.89,-5.55
5.890555143356323,-1.27,-5.83
6.158690929412842,-0.06,-6.18
6.660157680511475,0.5,-6.3
6.887619972229004,1.18,-6.3
7.155837059020996,2.47,-6.13
7.668933868408203,3.02,-6.01
7.890544891357422,3.65,-5.74
8.158826112747192,4.76,-5.1
8.660272359848022,5.24,-4.77
8.887839794158936,5.76,-4.27
9.167540550231934,6.57,-3.27
9.668983221054077,6.89,-2.82
9.890610933303833,7.2,-2.17
10.170588493347168,7.62,-0.99
10.66041350364685,7.78,-0.43
10.887749195098877,7.86,0.3
11.17924165725708,7.88,1.55
11.66920280456543,7.85,2.11
11.890735149383545,7.71,2.84
12.176506757736206,7.36,4.02
12.660387516021729,7.13,4.56
12.887877941131592,6.76,5.22
13.190977573394775,6.04,6.21
13.66921591758728,5.68,6.62
13.890928506851196,5.12,7.13
14.188127756118774,4.17,7.81
14.66048526763916,3.69,8.09
14.887932538986206,3.0,8.42
15.196998357772827,1.92,8.79
15.669219017028809,1.41,8.91
15.89086365699768,0.69,9.01
16.19992709159851,-0.37,9.07
16.660561561584473,-0.89,9.06
16.888067960739136,-1.62,8.98
17.208717107772827,-2.63,8.78
17.669302940368652,-3.1,8.64
17.8909854888916,-3.76,8.4
18.21161675453186,-4.65,7.98
18.66066026687622,-5.08,7.73
18.88811206817627,-5.67,7.34
19.220399856567383,-6.41,6.74
19.669397354125977,-6.74,6.42
19.89106011390686,-7.21,5.92
20.217588424682617,-7.77,5.2
20.660831689834595,-8.03,4.82
20.888143301010132,-8.36,4.22
21.226398706436157,-8.66,3.92
21.66947293281555,-8.8,3.73
21.891154050827026,-9.01,3.25
22.229348182678223,-9.23,2.62
22.661156177520752,-9.33,2.47
22.888606548309326,-9.44,1.97
23.23846673965454,-9.55,1.28
23.669578790664673,-9.61,1.11
23.891202926635742,-9.65,0.57
24.246917963027954,-9.68,0.01
24.660919666290283,-9.72,-0.14
24.888354539871216,-9.67,-0.7
25.249881982803345,-9.63,-1.24
25.66965651512146,-9.65,-1.38
25.891274452209473,-9.51,-1.93
26.25866150856018,-9.41,-2.42
26.6610107421875,-9.41,-2.57
26.88851237297058,-9.2,-3.09
27.26161503791809,-9.06,-3.53
27.669830322265625,-9.05,-3.66
27.891437530517578,-8.78,-4.17
28.270432472229004,-8.61,-4.55
28.661169290542603,-8.58,-4.69
28.888632774353027,-8.24,-5.17
29.26763081550598,-8.0,-5.56
29.669848203659058,-7.95,-5.68
29.891480684280396,-7.55,-6.14
